iteration,official_year,ceremony_date,category_group,category,official_name,common_name,nomination_id,statement,pending,winner,official,stat,statement_name,statement_ind,entity_imdb_id,entity_type,name,title_imdb_id,title,detail,title_winner,note
1,1927/28,1929-05-16,Acting,Actor,ACTOR,Best Actor,1,Emil Jannings,False,True,True,True,Emil Jannings,0,nm0417837,person,Emil Jannings,tt0019553,The Way of All Flesh,['August Schilling'],True,
1,1927/28,1929-05-16,Acting,Actor,ACTOR,Best Actor,1,Emil Jannings,False,True,True,True,Emil Jannings,0,nm0417837,person,Emil Jannings,tt0019071,The Last Command,['General Dolgorucki [Grand Duke Sergius Alexander]'],True,
1,1927/28,1929-05-16,Acting,Actor,ACTOR,Best Actor,2,Richard Barthelmess,False,False,True,True,Richard Barthelmess,0,nm0001932,person,Richard Barthelmess,tt0019217,The Noose,['Nickie Elkins'],False,
1,1927/28,1929-05-16,Acting,Actor,ACTOR,Best Actor,2,Richard Barthelmess,False,False,True,True,Richard Barthelmess,0,nm0001932,person,Richard Barthelmess,tt0018253,The Patent Leather Kid,['The Patent Leather Kid'],False,
1,1927/28,1929-05-16,Acting,Actress,ACTRESS,Best Actress,3,Janet Gaynor,False,True,True,True,Janet Gaynor,0,nm0310980,person,Janet Gaynor,tt0018379,7th Heaven,['Diane'],True,
1,1927/28,1929-05-16,Acting,Actress,ACTRESS,Best Actress,3,Janet Gaynor,False,True,True,True,Janet Gaynor,0,nm0310980,person,Janet Gaynor,tt0019429,Street Angel,['Angela'],True,
1,1927/28,1929-05-16,Acting,Actress,ACTRESS,Best Actress,3,Janet Gaynor,False,True,True,True,Janet Gaynor,0,nm0310980,person,Janet Gaynor,tt0018455,Sunrise,['The Wife'],True,
1,1927/28,1929-05-16,Acting,Actress,ACTRESS,Best Actress,4,Louise Dresser,False,False,True,True,Louise Dresser,0,nm0237571,person,Louise Dresser,tt0018389,A Ship Comes In,['Mrs. Pleznik'],False,
1,1927/28,1929-05-16,Acting,Actress,ACTRESS,Best Actress,5,Gloria Swanson,False,False,True,True,Gloria Swanson,0,nm0841797,person,Gloria Swanson,tt0019344,Sadie Thompson,['Sadie Thompson'],False,
1,1927/28,1929-05-16,Cinematography,Cinematography,CINEMATOGRAPHY,Best Cinematography,9,Charles Rosher and Karl Struss,False,True,True,True,Charles Rosher,0,nm0003546,person,Charles Rosher,tt0018455,Sunrise,[],True,"[NOTE: For this awards year, awards were presented in the name of the individual and could honor work on one or more films. Charles Rosher and Karl Struss were both honored for cinematography on this film. It is considered a single nomination for the film.]"
